54,0,18,181,1,1,1
72,-18,71,181,1,1,1
89,-18,125,541,1,1,1
107,0,143,891,1,1,1
107,-18,142,711,1,1,1
108,-18,125,891,1,1,1
71,-18,125,891,1,1,1
90,0,125,891,1,1,1
143,-18,107,891,1,1,1
143,-18,143,711,1,1,1
107,0,125,711,1,1,1
107,0,125,711,1,1,1
125,0,107,531,1,1,1
107,0,71,711,1,1,1
71,0,106,711,1,1,1
107,0,142,1071,1,1,1
143,-18,125,901,1,1,1
107,0,107,711,1,1,1
125,-18,214,541,1,1,1
71,0,143,361,1,1,1
125,0,196,361,1,1,1
107,-35,142,531,1,1,1
71,0,142,541,1,1,1
71,-18,178,181,1,1,1
89,-36,107,351,1,1,1
107,-35,143,361,1,1,1
90,-18,142,361,1,1,1
53,0,71,361,1,1,1
89,-18,143,01,1,1,1
71,-18,124,01,1,1,1
89,-18,160,01,1,1,1
125,-18,143,361,1,1,1
106,-18,177,351,1,1,1
124,-36,160,351,1,1,1
90,-18,107,01,1,1,1
72,0,214,711,1,1,1
71,0,71,191,1,1,1
54,-18,107,181,1,1,1
54,0,125,01,1,1,1
54,0,89,181,1,1,1
53,-17,160,531,1,1,1
89,-18,107,01,1,1,1
54,-18,124,181,1,1,1
36,0,71,181,1,1,1
53,-18,107,531,1,1,1
53,-18,178,-181,1,1,1
54,-18,88,01,1,1,1
36,0,71,181,1,1,1
36,0,71,01,1,1,1
54,-18,160,01,1,1,1
89,-18,125,181,1,1,1
89,-18,143,171,1,1,1
89,-18,106,181,1,1,1
89,-18,89,01,1,1,1
71,0,71,01,1,1,1
71,0,107,01,1,1,1
54,-18,89,01,1,1,1
54,-18,107,181,1,1,1
35,0,54,181,1,1,1
