0,1,2,3
24,-56,-264,-304
40,-8,-248,-248
2,16,-232,-304
4,40,-200,-312
0,56,-200,-288
20,128,-208,-280
36,136,-192,-264
20,152,-176,-224
60,200,-152,-272
00,280,-104,-224
36,480,-40,-160
16,568,0,-80
88,480,-16,-152
84,352,-88,-184
4,168,-184,-248
64,32,-200,-264
136,-64,-200,-280
168,-128,-256,-304
176,-176,-280,-320
224,-200,-288,-328
272,-272,-296,-360
304,-320,-296,-392
312,-328,-312,-368
336,-368,-320,-392
336,-376,-312,-416
280,-368,-320,-416
312,-312,-288,-400
296,-304,-272,-440
256,-328,-328,-400
224,-280,-288,-400
96,-192,-272,-376
6,16,-224,-304
40,232,-144,-184
80,288,-152,-224
04,312,-120,-248
20,360,-112,-208
68,424,-104,-216
80,392,-104,-224
68,296,-136,-256
0,168,-192,-272
,120,-200,-280
40,56,-200,-288
56,-8,-208,-280
96,-80,-224,-288
152,-136,-256,-320
128,-112,-248,-296
40,-40,-256,-296
4,40,-224,-272
12,88,-192,-264
60,88,-168,-272
52,112,-200,-256
6,112,-200,-280
2,0,-256,-312
56,-136,-280,-320
144,-224,-272,-368
224,-272,-264,-408
232,-288,-304,-400
296,-344,-288,-408
312,-376,-312,-352
280,-336,-296,-400
272,-344,-328,-384
240,-264,-272,-360
208,-192,-248,-352
160,-176,-312,-344
96,-48,-256,-328
8,24,-208,-272
28,176,-192,-272
04,352,-104,-208
04,272,-136,-200
08,168,-224,-248
04,32,-232,-296
8,-104,-264,-360
120,-208,-288,-352
192,-232,-288,-392
248,-272,-328,-424
280,-296,-288,-400
280,-336,-304,-400
272,-368,-288,-416
240,-328,-272,-384
200,-264,-272,-384
128,-136,-288,-352
80,-64,-272,-336
,-8,-264,-320
4,56,-248,-296
8,80,-224,-304
16,-56,-240,-328
96,-112,-280,-328
144,-200,-304,-392
224,-296,-312,-392
232,-328,-264,-384
288,-352,-280,-400
296,-336,-304,-408
248,-328,-312,-384
216,-264,-280,-400
192,-208,-288,-336
96,-120,-256,-312
16,16,-224,-336
6,56,-240,-272
12,88,-232,-264
52,144,-208,-240
56,272,-176,-240
88,360,-128,-240
92,496,-96,-208
68,504,-88,-200
48,384,-120,-264
76,248,-120,-240
0,176,-208,-280
4,128,-208,-280
,64,-224,-320
24,-8,-232,-288
8,-16,-240,-320
56,-80,-248,-312
40,-64,-264,-336
64,-80,-264,-344
112,-120,-232,-360
144,-184,-248,-336
136,-192,-288,-368
216,-248,-280,-408
216,-256,-248,-392
224,-224,-288,-392
208,-256,-288,-392
136,-168,-280,-384
64,-120,-280,-336
4,24,-240,-320
8,136,-208,-264
92,240,-176,-200
56,304,-112,-192
64,368,-104,-200
84,320,-88,-232
6,216,-152,-216
4,104,-208,-264
,72,-192,-264
48,-40,-224,-272
104,-104,-216,-328
176,-184,-272,-352
208,-264,-312,-400
248,-320,-304,-384
272,-336,-296,-408
240,-312,-320,-400
264,-304,-304,-400
200,-272,-288,-392
224,-248,-296,-408
136,-216,-264,-368
112,-144,-272,-352
32,-64,-280,-352
8,-32,-256,-368
56,-88,-272,-352
80,-88,-264,-336
120,-128,-248,-368
128,-80,-264,-336
56,-32,-264,-328
56,16,-256,-328
40,56,-200,-304
32,96,-184,-272
8,160,-192,-264
8,248,-168,-264
20,336,-136,-240
00,416,-88,-256
80,568,-40,-208
00,712,8,-176
04,776,80,-176
60,784,96,-136
44,792,112,-136
52,792,56,-128
12,688,40,-128
92,528,-48,-136
96,320,-120,-168
36,136,-200,-248
16,-40,-232,-312
144,-208,-288,-368
232,-296,-304,-384
288,-304,-320,-408
296,-320,-296,-400
336,-376,-320,-384
320,-376,-320,-400
336,-392,-328,-392
296,-304,-320,-368
240,-240,-304,-376
208,-176,-264,-360
152,-96,-264,-312
88,-48,-224,-336
24,32,-200,-320
6,120,-200,-272
52,160,-200,-264
60,192,-168,-248
00,192,-128,-248
00,264,-168,-240
20,344,-112,-232
68,360,-136,-232
44,432,-112,-192
76,448,-88,-240
84,496,-112,-256
76,472,-80,-208
00,472,-64,-224
32,520,-56,-240
80,584,-24,-192
96,608,-32,-168
88,616,-16,-144
04,600,-16,-152
88,576,-8,-120
80,568,-16,-112
32,504,-16,-112
68,360,-144,-160
12,272,-152,-176
16,144,-192,-272
6,32,-216,-304
2,-48,-232,-312
72,-184,-240,-360
192,-248,-288,-376
240,-296,-264,-408
296,-312,-280,-408
304,-336,-304,-408
296,-320,-296,-384
312,-368,-296,-424
280,-344,-296,-416
264,-304,-312,-432
216,-288,-280,-376
120,-192,-280,-328
120,-104,-264,-344
40,-8,-224,-328
0,24,-248,-304
2,40,-232,-288
8,56,-216,-248
36,80,-208,-248
